<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20070522,000000,248.0600000,248.6000000,243.7700000,247.5800000,23231152
GAZP,D,20070523,000000,246.7200000,247.4800000,240.6000000,241.6000000,30958666
GAZP,D,20070524,000000,239.2000000,240.0000000,232.3100000,237.1000000,44403878
GAZP,D,20070525,000000,233.4000000,240.8000000,233.4000000,238.5000000,22659024
GAZP,D,20070528,000000,240.3700000,240.6000000,231.8000000,234.2200000,22001002
GAZP,D,20070529,000000,234.3400000,235.8800000,227.3700000,229.2500000,38613030
GAZP,D,20070530,000000,225.8000000,229.3500000,222.6500000,227.9900000,39759275
GAZP,D,20070531,000000,230.5300000,236.1500000,229.6000000,236.0000000,33069679
GAZP,D,20070601,000000,236.9600000,245.5000000,233.6000000,244.8000000,75763844
GAZP,D,20070604,000000,243.8000000,247.3000000,240.5000000,246.3000000,35502484
GAZP,D,20070605,000000,246.0700000,251.4600000,246.0700000,247.0000000,43821890
GAZP,D,20070606,000000,247.0700000,249.3900000,241.5800000,244.0000000,34837384
GAZP,D,20070607,000000,242.5000000,246.7000000,240.6500000,241.2800000,43444854
GAZP,D,20070608,000000,239.0000000,241.9800000,237.2600000,241.3000000,40527718
GAZP,D,20070609,000000,242.1000000,243.9300000,240.5500000,243.0000000,17820884
GAZP,D,20070613,000000,242.1000000,246.8700000,241.0100000,246.6400000,28092516
GAZP,D,20070614,000000,249.5000000,257.8700000,248.3500000,257.7000000,78652293
GAZP,D,20070615,000000,259.0000000,265.2000000,257.3000000,265.0000000,79340635
GAZP,D,20070618,000000,266.5000000,268.4400000,264.0200000,264.8200000,56279203
GAZP,D,20070619,000000,264.0100000,266.9700000,262.2900000,264.6900000,40883093
GAZP,D,20070620,000000,266.2000000,269.4900000,264.8000000,268.2400000,55544404
GAZP,D,20070621,000000,265.8000000,268.4400000,262.1000000,262.4000000,44373710
GAZP,D,20070622,000000,263.2000000,265.3000000,261.1000000,262.9600000,32644058
GAZP,D,20070625,000000,261.0000000,263.9900000,257.7000000,257.8800000,32346733
GAZP,D,20070626,000000,259.0000000,262.5000000,256.5500000,261.9900000,52691672
GAZP,D,20070627,000000,259.5000000,260.8700000,258.1800000,260.3400000,23755740
GAZP,D,20070628,000000,263.5500000,266.6600000,263.0000000,264.5300000,46048254
GAZP,D,20070629,000000,269.9900000,270.4000000,264.3000000,267.7400000,60072504
GAZP,D,20070702,000000,267.9400000,275.1700000,267.0300000,272.1700000,80764317
GAZP,D,20070703,000000,273.8000000,275.0000000,271.5000000,273.1200000,65113646
GAZP,D,20070704,000000,273.4900000,273.4900000,270.0300000,270.4500000,27860378
GAZP,D,20070705,000000,271.2000000,275.8900000,270.8000000,273.9500000,53295392
GAZP,D,20070706,000000,273.2300000,275.0000000,271.7700000,274.8000000,34502114
GAZP,D,20070709,000000,275.9000000,278.1800000,275.2500000,278.0000000,39543886
GAZP,D,20070710,000000,273.9000000,276.5000000,272.0100000,273.0000000,37462046
GAZP,D,20070711,000000,270.5000000,277.2800000,270.2500000,276.3000000,53384835
GAZP,D,20070712,000000,278.0000000,284.7500000,277.8000000,284.7400000,76960215
GAZP,D,20070713,000000,287.9000000,289.2800000,285.7500000,287.6700000,58859285
GAZP,D,20070716,000000,287.0000000,292.9900000,285.3000000,292.0600000,69984676
GAZP,D,20070717,000000,290.9000000,291.6800000,286.0500000,290.2500000,69708560
GAZP,D,20070718,000000,287.3000000,288.8100000,283.1400000,286.4000000,55084103
GAZP,D,20070719,000000,288.0000000,293.7100000,287.5000000,292.5100000,70500345
GAZP,D,20070720,000000,293.1000000,294.4000000,289.5000000,291.2700000,51685255
GAZP,D,20070723,000000,287.0000000,292.7500000,286.7000000,291.3200000,47515122
GAZP,D,20070724,000000,291.7000000,292.5000000,283.2100000,283.3000000,45702161
GAZP,D,20070725,000000,280.5500000,283.8000000,279.2700000,283.5000000,46496538
GAZP,D,20070726,000000,284.5000000,285.2400000,273.0000000,273.5000000,68307217
GAZP,D,20070727,000000,268.3000000,272.2500000,262.7000000,268.4000000,87150477
GAZP,D,20070730,000000,268.3000000,273.7500000,266.5100000,271.6500000,66957417
GAZP,D,20070731,000000,273.6700000,276.4500000,272.5500000,275.6000000,42904338
GAZP,D,20070801,000000,270.1600000,271.1700000,264.7500000,269.9500000,57850345
GAZP,D,20070802,000000,272.0000000,273.9000000,269.0400000,273.8000000,35797133
GAZP,D,20070803,000000,274.6700000,279.1900000,272.8100000,277.3900000,60030554
GAZP,D,20070806,000000,271.0300000,273.6600000,269.6000000,271.4700000,42545209
GAZP,D,20070807,000000,272.9000000,275.5300000,271.8300000,273.2000000,27534933
GAZP,D,20070808,000000,275.0800000,280.3500000,274.9900000,280.0300000,52036952
GAZP,D,20070809,000000,282.2000000,282.4800000,270.5000000,271.9000000,64155911
GAZP,D,20070810,000000,266.2700000,268.9700000,263.1200000,266.1300000,74241621
GAZP,D,20070813,000000,269.8700000,271.5000000,267.5500000,270.8300000,35905676
GAZP,D,20070814,000000,269.8300000,270.8000000,267.5800000,269.0100000,36117595
GAZP,D,20070815,000000,264.8400000,265.8700000,262.8700000,263.7500000,31475124
GAZP,D,20070816,000000,258.7500000,260.5500000,254.6500000,258.9500000,54943803
GAZP,D,20070817,000000,256.8000000,264.6400000,251.8200000,263.9900000,75201634
GAZP,D,20070820,000000,264.5000000,265.9000000,260.3600000,261.4900000,31660902
GAZP,D,20070821,000000,262.4000000,263.0000000,254.0000000,258.8900000,55276490
GAZP,D,20070822,000000,259.0000000,263.7800000,257.0000000,263.5600000,31406039
GAZP,D,20070823,000000,265.0000000,267.2100000,263.3100000,264.1900000,37731188
GAZP,D,20070824,000000,263.0000000,263.7900000,260.6200000,262.1900000,28741703
GAZP,D,20070827,000000,264.9500000,266.9500000,264.3100000,265.1500000,28929145
GAZP,D,20070828,000000,264.5000000,265.1000000,262.0100000,262.5000000,23048092
GAZP,D,20070829,000000,258.5000000,261.7000000,257.8500000,261.5800000,38599677
GAZP,D,20070830,000000,263.5000000,264.7900000,260.5000000,261.0100000,31283968
GAZP,D,20070831,000000,263.0200000,266.5500000,263.0000000,265.8000000,34957247
GAZP,D,20070903,000000,266.1100000,266.4000000,264.1500000,264.9200000,17066375
GAZP,D,20070904,000000,264.0300000,264.6300000,262.0700000,263.0000000,26475998
GAZP,D,20070905,000000,264.1000000,264.6700000,261.7900000,262.0000000,26171948
GAZP,D,20070906,000000,262.5500000,266.9600000,262.5500000,266.6900000,38868141
GAZP,D,20070907,000000,266.0000000,266.4800000,261.4000000,262.0200000,38682923
GAZP,D,20070910,000000,260.2500000,262.2100000,260.0000000,260.9000000,26379910
GAZP,D,20070911,000000,262.0500000,263.8900000,261.4500000,263.1900000,25804853
GAZP,D,20070912,000000,264.2400000,264.6700000,260.8500000,262.0100000,38164667
GAZP,D,20070913,000000,263.2000000,270.2500000,262.5500000,269.9800000,61889224
GAZP,D,20070914,000000,270.4000000,270.8700000,266.7000000,268.1900000,52698176
GAZP,D,20070917,000000,267.4700000,268.0900000,264.6000000,265.9000000,30702592
GAZP,D,20070918,000000,266.2500000,269.3700000,265.5500000,268.0000000,49236379
GAZP,D,20070919,000000,274.9900000,277.1400000,274.0800000,276.5400000,90768388
GAZP,D,20070920,000000,275.7000000,275.8000000,272.3500000,274.0000000,62044475
GAZP,D,20070921,000000,273.1200000,273.8800000,272.0200000,272.2500000,38757182
GAZP,D,20070924,000000,273.0100000,274.2800000,270.8100000,273.0000000,59891501
GAZP,D,20070925,000000,272.1000000,273.2100000,268.5600000,269.2000000,46595444
GAZP,D,20070926,000000,270.8000000,273.6000000,270.3100000,273.5500000,36090602
GAZP,D,20070927,000000,274.9000000,275.8000000,272.8000000,273.8000000,40181080
GAZP,D,20070928,000000,275.0200000,275.4000000,272.3000000,274.2000000,30983943
GAZP,D,20071001,000000,273.2500000,273.9800000,270.7700000,272.1200000,28573380
GAZP,D,20071002,000000,275.6000000,282.5000000,275.2500000,282.3000000,79192296
GAZP,D,20071003,000000,281.9000000,284.7700000,279.6000000,280.3000000,61998348
GAZP,D,20071004,000000,279.0200000,284.8300000,278.7500000,283.7100000,51813302
GAZP,D,20071005,000000,285.0600000,290.8600000,285.0000000,289.5000000,54339045
GAZP,D,20071008,000000,293.0000000,293.7000000,290.1100000,292.0500000,61451733
GAZP,D,20071009,000000,291.1000000,294.2000000,289.8000000,293.9800000,48628518
GAZP,D,20071010,000000,295.0000000,295.6600000,291.3000000,292.0000000,41063712
GAZP,D,20071011,000000,293.6000000,297.5000000,292.0500000,297.0000000,54070455
GAZP,D,20071012,000000,293.0500000,294.7900000,292.0000000,293.4000000,38240402
GAZP,D,20071015,000000,294.8000000,296.4500000,293.7800000,295.1400000,29224669
GAZP,D,20071016,000000,294.7100000,295.5000000,292.3300000,293.1700000,35179300
GAZP,D,20071017,000000,292.0000000,294.1700000,290.5200000,293.2000000,44385438
GAZP,D,20071018,000000,293.8700000,294.0000000,289.7200000,290.4000000,37689793
GAZP,D,20071019,000000,291.4900000,291.9000000,288.8000000,289.2500000,33722439
GAZP,D,20071022,000000,283.5000000,286.0000000,282.6500000,284.4500000,37845718
GAZP,D,20071023,000000,286.5000000,288.1000000,285.4000000,286.7000000,28196828
GAZP,D,20071024,000000,286.7000000,286.7700000,283.1100000,284.1900000,24227869
GAZP,D,20071025,000000,284.6200000,290.5000000,284.6000000,287.1500000,45941457
GAZP,D,20071026,000000,290.0000000,295.2000000,289.5100000,295.0200000,54919273
GAZP,D,20071029,000000,298.1200000,304.4500000,298.1100000,303.8000000,63953921
GAZP,D,20071030,000000,302.4100000,305.1900000,300.3000000,304.7500000,51909678
GAZP,D,20071031,000000,302.4500000,306.9900000,301.7100000,306.6800000,54699384
GAZP,D,20071101,000000,308.4500000,315.4800000,301.9000000,305.4000000,130423782
GAZP,D,20071102,000000,301.0000000,310.9500000,301.0000000,307.9200000,91277991
GAZP,D,20071106,000000,308.5100000,316.3700000,308.5100000,315.0000000,79426649
GAZP,D,20071107,000000,317.5500000,319.5500000,313.1000000,317.6100000,105971336
GAZP,D,20071108,000000,313.5000000,323.7500000,312.5500000,323.2500000,114324479
GAZP,D,20071109,000000,324.2900000,328.5000000,320.1400000,320.9300000,96473425
GAZP,D,20071112,000000,319.5000000,325.7500000,317.5100000,321.1500000,74612553
GAZP,D,20071113,000000,320.2200000,322.0000000,313.9200000,317.7000000,88670264
GAZP,D,20071114,000000,320.9700000,322.3800000,317.3500000,320.7000000,76015356
GAZP,D,20071115,000000,319.4200000,320.3000000,317.0000000,318.2000000,40274570
GAZP,D,20071116,000000,316.5000000,317.4800000,311.5500000,313.2000000,47795581
GAZP,D,20071119,000000,314.5800000,317.9000000,310.4100000,310.9500000,49924566
GAZP,D,20071120,000000,312.0100000,314.8400000,308.0700000,313.2000000,61697474
GAZP,D,20071121,000000,313.1000000,313.7000000,305.3800000,306.5000000,59892834
GAZP,D,20071122,000000,307.0000000,308.4800000,302.1700000,308.1000000,45909995
GAZP,D,20071123,000000,307.4000000,310.3600000,306.3100000,306.8000000,36133952
GAZP,D,20071126,000000,310.0200000,312.2500000,308.1100000,311.0000000,37670114
GAZP,D,20071127,000000,309.0900000,311.1300000,307.0100000,307.5500000,31338793
GAZP,D,20071128,000000,307.5000000,311.6100000,304.7400000,311.4300000,44299070
GAZP,D,20071129,000000,314.5200000,316.1000000,312.0100000,315.9000000,47057826
GAZP,D,20071130,000000,317.2000000,323.7000000,316.5500000,323.3900000,71607973
GAZP,D,20071203,000000,322.8900000,325.0900000,319.1200000,323.1100000,61964523
GAZP,D,20071204,000000,323.8000000,330.2700000,323.5000000,329.0200000,83967299
GAZP,D,20071205,000000,328.4500000,345.1000000,327.8500000,345.1000000,128516603
GAZP,D,20071206,000000,346.2200000,349.4700000,342.0000000,343.7100000,123225284
GAZP,D,20071207,000000,348.1000000,350.2400000,346.2300000,347.7000000,74152199
GAZP,D,20071210,000000,346.5000000,357.9000000,343.6600000,354.9100000,126239357
GAZP,D,20071211,000000,358.4000000,359.4000000,350.6400000,353.0000000,85579488
GAZP,D,20071212,000000,348.9300000,358.1000000,348.2000000,357.2000000,80356356
GAZP,D,20071213,000000,356.1300000,356.1700000,345.0000000,346.8500000,81991375
GAZP,D,20071214,000000,346.9900000,350.6700000,340.0000000,342.7000000,64535513
GAZP,D,20071217,000000,340.0000000,343.6500000,336.7100000,340.5000000,67663312
GAZP,D,20071218,000000,340.9000000,349.5000000,340.5000000,349.2500000,69462425
GAZP,D,20071219,000000,349.9000000,352.1900000,342.5100000,345.0600000,76904585
GAZP,D,20071220,000000,348.9000000,352.8700000,348.0600000,352.0000000,61619963
GAZP,D,20071221,000000,354.0000000,354.9500000,350.1100000,354.0000000,50274750
GAZP,D,20071224,000000,355.9000000,356.0000000,351.6000000,351.7500000,28999651
GAZP,D,20071225,000000,353.0000000,353.1800000,348.6600000,349.0000000,23621239
GAZP,D,20071226,000000,349.1800000,350.5000000,345.2000000,347.6400000,26645438
GAZP,D,20071227,000000,348.3100000,351.7700000,346.1500000,348.9900000,41847778
GAZP,D,20071228,000000,348.4000000,348.7700000,341.8100000,342.8800000,32699306
GAZP,D,20080109,000000,354.1000000,354.9000000,350.3400000,352.6900000,56176463
GAZP,D,20080110,000000,353.5600000,355.4200000,352.0100000,352.4000000,31988712
GAZP,D,20080111,000000,352.7500000,357.4300000,349.8100000,355.9100000,52439408
GAZP,D,20080114,000000,355.2700000,365.6400000,353.7700000,363.7000000,61025689
GAZP,D,20080115,000000,364.0000000,365.2000000,358.3900000,360.2400000,57301687
GAZP,D,20080116,000000,354.8500000,354.9900000,337.6100000,342.4500000,106144575
GAZP,D,20080117,000000,342.0000000,344.1200000,325.3200000,331.0400000,129120428
GAZP,D,20080118,000000,326.4000000,331.7500000,322.0000000,327.0500000,94571904
GAZP,D,20080121,000000,321.0000000,321.0000000,299.1400000,303.8000000,125448485
GAZP,D,20080122,000000,289.0000000,323.7000000,281.6000000,307.0000000,186904176
GAZP,D,20080123,000000,314.8900000,317.8000000,293.3800000,296.0000000,139957426
GAZP,D,20080124,000000,310.1200000,311.3000000,303.0600000,307.2000000,112018056
GAZP,D,20080125,000000,313.1000000,317.1800000,310.2500000,316.2300000,86383411
GAZP,D,20080128,000000,305.5500000,308.8600000,303.2500000,305.3200000,65657860
GAZP,D,20080129,000000,310.5000000,313.3000000,308.7000000,312.8300000,61449205
GAZP,D,20080130,000000,310.9900000,311.0000000,305.1400000,305.9500000,54726112
GAZP,D,20080131,000000,304.6000000,306.2000000,288.5000000,290.9500000,90720279
GAZP,D,20080201,000000,297.0000000,309.3500000,295.3300000,305.2000000,96761719
GAZP,D,20080204,000000,312.1000000,315.2000000,310.1300000,312.8800000,54037190
GAZP,D,20080205,000000,312.0000000,318.5400000,300.5300000,302.4900000,84819425
GAZP,D,20080206,000000,293.0000000,300.3000000,288.0000000,297.7000000,117378561
GAZP,D,20080207,000000,296.5100000,298.0000000,283.2300000,289.0900000,90967687
GAZP,D,20080208,000000,292.0400000,293.5000000,281.6000000,286.3100000,79981673
GAZP,D,20080211,000000,286.1000000,294.2300000,283.1000000,292.2500000,67195091
GAZP,D,20080212,000000,294.9700000,303.0000000,294.5100000,302.8200000,91852618
GAZP,D,20080213,000000,301.9500000,309.0900000,296.0300000,307.8100000,88086676
GAZP,D,20080214,000000,312.5000000,313.9000000,307.0200000,309.4500000,67927513
GAZP,D,20080215,000000,309.6000000,313.7000000,304.5900000,305.5000000,70575252
GAZP,D,20080218,000000,309.0000000,313.8500000,308.2500000,312.7500000,46706490
GAZP,D,20080219,000000,314.9000000,319.1900000,307.7600000,318.9500000,101596051
GAZP,D,20080220,000000,314.5000000,317.5000000,310.2300000,313.3000000,95653587
GAZP,D,20080221,000000,318.8700000,322.0000000,317.6300000,319.2000000,66232030
GAZP,D,20080222,000000,315.9100000,320.0000000,314.1100000,317.0500000,54226385
GAZP,D,20080226,000000,321.0000000,321.1800000,314.1800000,316.5000000,43300353
GAZP,D,20080227,000000,319.9000000,319.9000000,312.6200000,314.4700000,63081632
GAZP,D,20080228,000000,313.1100000,315.3600000,309.5600000,310.5400000,57938497
GAZP,D,20080229,000000,309.0000000,312.8900000,303.0000000,304.9500000,68439631
GAZP,D,20080303,000000,298.2500000,303.3600000,295.3000000,301.2100000,67667742
GAZP,D,20080304,000000,304.0300000,310.5000000,301.6000000,306.7000000,82535873
GAZP,D,20080305,000000,306.4900000,309.1700000,303.5000000,307.3000000,62890004
GAZP,D,20080306,000000,310.0000000,310.9500000,304.5000000,305.1100000,53222699
GAZP,D,20080307,000000,301.0200000,301.9000000,297.0200000,298.6700000,54387521
GAZP,D,20080311,000000,298.0800000,309.8800000,298.0000000,309.4900000,59100640
GAZP,D,20080312,000000,312.2900000,313.0900000,306.8300000,310.1000000,74211636
GAZP,D,20080313,000000,304.9800000,306.5000000,301.5100000,302.2500000,45986561
GAZP,D,20080314,000000,304.7700000,310.9500000,300.6000000,303.9700000,70688461
GAZP,D,20080317,000000,299.1100000,299.4100000,287.5200000,290.3500000,91922318
GAZP,D,20080318,000000,292.3300000,296.4700000,289.0200000,296.4700000,66522421
GAZP,D,20080319,000000,301.0000000,301.5100000,292.5500000,294.7700000,69079153
GAZP,D,20080320,000000,287.9700000,291.2900000,284.5000000,288.0100000,78475161
GAZP,D,20080321,000000,290.1000000,290.8000000,288.2000000,288.6500000,21478685
GAZP,D,20080324,000000,289.8500000,298.0000000,287.3800000,297.6700000,30775032
GAZP,D,20080325,000000,298.0000000,299.6400000,293.0000000,293.1400000,64873803
GAZP,D,20080326,000000,294.1400000,296.8200000,292.0000000,292.6400000,36027816
GAZP,D,20080327,000000,292.9800000,301.2700000,292.2000000,297.0200000,65518539
GAZP,D,20080328,000000,298.2100000,302.5400000,298.2100000,298.8200000,41131954
GAZP,D,20080331,000000,297.4800000,299.4400000,294.2100000,297.6100000,34038228
GAZP,D,20080401,000000,297.5000000,302.2000000,294.7500000,299.6800000,47768869
GAZP,D,20080402,000000,303.7000000,304.0000000,299.4800000,300.4900000,45364507
GAZP,D,20080403,000000,301.4000000,302.9900000,296.9200000,297.2500000,35330235
GAZP,D,20080404,000000,298.2000000,299.9100000,296.2500000,297.8100000,24072137
GAZP,D,20080407,000000,300.5900000,306.4900000,300.5000000,305.6000000,35336210
GAZP,D,20080408,000000,303.7800000,305.4500000,301.2000000,302.0000000,29884376
GAZP,D,20080409,000000,301.3000000,310.2400000,301.2200000,308.9100000,47736028
GAZP,D,20080410,000000,308.3000000,312.9000000,306.2000000,311.7000000,68418333
GAZP,D,20080411,000000,313.5000000,317.0100000,307.2000000,307.2000000,90805105
GAZP,D,20080414,000000,305.0000000,306.8900000,302.5700000,306.0700000,54572945
GAZP,D,20080415,000000,307.8400000,311.3400000,305.7700000,310.4100000,54736620
